"Section","Band","Rank","Rank for prize","Call","WWL","Claimed score","Claimed QSOs","Cross checked score","Cross checked QSOs","LL Squares","CC LL Squares","# deleted QSOs","% error score","Unique","% unique score","% CW QSOs","% MGM QSOs","cross checked ODX call","cross checked ODX QRB","Millimeter Group score","PWR(W)","RTX","Ant","ASL(m)",
"SO 50 MHz","50 MHz","1","0","9A6A","JN83MM","0","0","24440444","168","","","","0,0 %","79","0,4 %","0,0 %","0,0 %","CE8EIO","13630","0","PWR(W): 150","TRX:","Ant: 6 el Yagi","ASL(m):","",
"SO 50 MHz","50 MHz","2","0","IS0BSR","JM49MM","0","0","2444050","36","","","","0,0 %","19","1,0 %","0,0 %","0,0 %","CE8EIO","12852","0","PWR(W): 500","TRX:","Ant: 3el dk7zb","ASL(m):","",
"SO 50 MHz","50 MHz","3","0","SQ6PLH","JO80MM","0","0","986815","28","","","","0,0 %","11","1,4 %","0,0 %","0,0 %","PY5EW","10577","0","PWR(W): 100","TRX:","Ant: 5ey yagi","ASL(m):","",
"SO 50 MHz","50 MHz","4","0","9A1Z","JN86MM","0","0","488502","32","","","","0,0 %","2","0,4 %","0,0 %","0,0 %","AO75CV","2016","0","PWR(W): 100","TRX:","Ant: 3el","ASL(m):","",
"SO 50 MHz","50 MHz","5","0","9A2MW","JN75MM","0","0","478128","35","","","","0,0 %","4","0,1 %","0,0 %","0,0 %","PY5EW","10154","0","PWR(W): 50","TRX:","Ant: 7 el. yagi","ASL(m):","",
"SO 50 MHz","50 MHz","6","0","HA5OLA","JN97MM","0","0","174210","19","","","","0,0 %","3","0,9 %","0,0 %","0,0 %","EA5R","1972","0","PWR(W): 5","TRX:","Ant: 5 element (50 70 5-6 ele)","ASL(m):","",
"SO 50 MHz","50 MHz","7","0","9A4OP","JN75MM","0","0","80991","21","","","","0,0 %","2","0,3 %","0,0 %","0,0 %","EA7DL","1737","0","PWR(W): 5","TRX:","Ant: yagi","ASL(m):","",
"SO 50 MHz","50 MHz","8","0","DO2AST","JO41MM","0","0","48620","19","","","","0,0 %","11","4,2 %","0,0 %","0,0 %","OK2ZAW","571","0","PWR(W): 100","TRX:","Ant: Yagi","ASL(m):","",
"SO 50 MHz","50 MHz","9","0","SM7HGY","JO86MM","0","0","41520","9","","","","0,0 %","1","0,1 %","0,0 %","0,0 %","G0GGG","1414","0","PWR(W): 100","TRX:","Ant: 3 element yagi","ASL(m):","",
"SO 50 MHz","50 MHz","10","0","PA3CRX","JO22MM","0","0","9708","13","","","","0,0 %","11","12,1 %","0,0 %","0,0 %","DL5YEE","271","0","PWR(W): 100","TRX:","Ant: Yagi","ASL(m):","",
"SO 50 MHz","50 MHz","11","0","IZ5YBK","JN53MM","0","0","3432","4","","","","0,0 %","0","0,0 %","0,0 %","0,0 %","9A6A","484","0","PWR(W): 100","TRX:","Ant: yagi 4","ASL(m):","",
"SO 50 MHz","50 MHz","12","0","I2FUM","JN45MM","0","0","1686","7","","","","0,0 %","4","18,1 %","0,0 %","0,0 %","IW1ALW","156","0","PWR(W): 50","TRX:","Ant: 3 Elem.","ASL(m):","",
"MO 50 MHz","50 MHz","1","0","IQ5MS","JN54MM","0","0","8184120","91","","","","0,0 %","39","0,3 %","0,0 %","0,0 %","LU1WFU","12603","0","PWR(W): 100","TRX:","Ant: Yagi 7el","ASL(m):","",
"6H 50 MHz","50 MHz","1","0","OE4WHG","JN87MM","0","0","2568020","42","","","","0,0 %","12","0,7 %","0,0 %","0,0 %","CE2SV","12466","0","PWR(W): 200","TRX:","Ant: 5el LFA","ASL(m):","",
"6H 50 MHz","50 MHz","2","0","IK3SSG","JN55MM","0","0","430312","33","","","","0,0 %","4","0,9 %","0,0 %","0,0 %","V51WW","7143","0","PWR(W): 75","TRX:","Ant: MomoBeam 5el. Yagi","ASL(m):","",
"6H 50 MHz","50 MHz","3","0","SF6F","JO67MM","0","0","390340","21","","","","0,0 %","5","1,3 %","0,0 %","0,0 %","IZ7XIQ","1802","0","PWR(W): 100","TRX:","Ant: 2X7","ASL(m):","",
"6H 50 MHz","50 MHz","4","0","EI8KN","IO62MM","0","0","234795","23","","","","0,0 %","15","2,6 %","0,0 %","0,0 %","OK2ZAW","1668","0","PWR(W): 100","TRX:","Ant: 5 element","ASL(m):","",
"6H 50 MHz","50 MHz","5","0","9A1CMS","JN86MM","0","0","89219","21","","","","0,0 %","1","0,7 %","0,0 %","0,0 %","DO2ZZ","641","0","PWR(W): 100","TRX:","Ant: 50 70 YU7EF","ASL(m):","",
"6H 50 MHz","50 MHz","6","0","4O6ZD","JN92MM","0","0","47649","3","","","","0,0 %","0","0,0 %","0,0 %","0,0 %","ZS6NL","7631","0","PWR(W): 10","TRX:","Ant: Vertical","ASL(m):","",
"6H 50 MHz","50 MHz","7","0","LZ5ZO","KN12MM","0","0","33228","7","","","","0,0 %","4","1,5 %","0,0 %","0,0 %","F4ARU","1787","0","PWR(W): 5","TRX:","Ant: dipole","ASL(m):","",
