"Section","Band","Rank","Rank for prize","Call","WWL","Claimed score","Claimed QSOs","Cross checked score","Cross checked QSOs","LL Squares","CC LL Squares","# deleted QSOs","% error score","Unique","% unique score","% CW QSOs","% MGM QSOs","cross checked ODX call","cross checked ODX QRB","Millimeter Group score","PWR(W)","RTX","Ant","ASL(m)",
"SO 50 MHz","50 MHz","1","0","F4ARU","JN03MM","0","0","7805754","81","","","","0,0 %","45","0,7 %","0,0 %","0,0 %","3B8FA","9120","0","PWR(W): 120","TRX:","Ant: 8 Elts","ASL(m):","",
"SO 50 MHz","50 MHz","2","0","9A6A","JN75MM","0","0","944587","34","","","","0,0 %","4","1,4 %","0,0 %","0,0 %","ZS6NJ","8098","0","PWR(W): 100","TRX:","Ant: 5 el Yagi DK7ZB","ASL(m):","",
"SO 50 MHz","50 MHz","3","0","E7AR","JN94MM","0","0","400995","29","","","","0,0 %","9","1,4 %","0,0 %","0,0 %","ZS6NJ","7938","0","PWR(W): 90","TRX:","Ant: 5 el YU7EF","ASL(m):","",
"SO 50 MHz","50 MHz","4","0","SP5QWB","KO02MM","0","0","260295","16","","","","0,0 %","5","1,8 %","0,0 %","0,0 %","F4ARU","1784","0","PWR(W): 400","TRX:","Ant: 7el Yagi","ASL(m):","",
"SO 50 MHz","50 MHz","5","0","9A5ST","JN83MM","0","0","212806","11","","","","0,0 %","0","0,0 %","0,0 %","0,0 %","ZS6NJ","7851","0","PWR(W): 50","TRX:","Ant: 5 el. YU7EF","ASL(m):","",
"SO 50 MHz","50 MHz","6","0","DF9PX","JO30MM","0","0","105600","26","","","","0,0 %","14","3,1 %","0,0 %","0,0 %","MM5DWW","1184","0","PWR(W): 100","TRX:","Ant: 7 El. Log Periodic Dual Band","ASL(m):","",
"SO 50 MHz","50 MHz","7","0","SQ6PLH","JO80MM","0","0","41661","10","","","","0,0 %","6","5,5 %","0,0 %","0,0 %","OH6GEP","1596","0","PWR(W): 75","TRX:","Ant: 5 el","ASL(m):","",
"SO 50 MHz","50 MHz","8","0","DL0HAM","JO62MM","0","0","3702","4","","","","0,0 %","3","32,0 %","0,0 %","0,0 %","F6GKY","957","0","PWR(W): 50","TRX:","Ant: LPDA","ASL(m):","",
"SO 50 MHz","50 MHz","9","0","IN3GRV","JN56MM","0","0","2504","5","","","","0,0 %","2","4,0 %","0,0 %","0,0 %","DK1MAX","223","0","PWR(W): 50","TRX:","Ant: 2el yagi","ASL(m):","",
"6H 50 MHz","50 MHz","1","0","OE4WHG","JN87MM","0","0","1408144","42","","","","0,0 %","13","0,5 %","0,0 %","0,0 %","ZS6NJ","8290","0","PWR(W): 100","TRX:","Ant: 5el LFA","ASL(m):","",
"6H 50 MHz","50 MHz","2","0","F4FET/P","JO00MM","0","0","460810","40","","","","0,0 %","22","1,6 %","0,0 %","0,0 %","SP5AOZ","1397","0","PWR(W): 500","TRX:","Ant: Yagi 5elts","ASL(m):","",
"6H 50 MHz","50 MHz","3","0","IK3SSG","JN55MM","0","0","451098","30","","","","0,0 %","5","0,1 %","0,0 %","0,0 %","ZS6NJ","8169","0","PWR(W): 70","TRX:","Ant: MomoBeam 5el. Yagi","ASL(m):","",
"6H 50 MHz","50 MHz","4","0","LZ2HM","KN12MM","0","0","91956","4","","","","0,0 %","4","25,0 %","0,0 %","0,0 %","PY5EW","10538","0","PWR(W): 100","TRX:","Ant: 5el G0KSC yagi","ASL(m):","",
"6H 50 MHz","50 MHz","5","0","IZ1YTH","JN45MM","0","0","12502","13","","","","0,0 %","8","4,8 %","0,0 %","0,0 %","DB5SM","470","0","PWR(W): 30","TRX:","Ant: Dir 5Elementi","ASL(m):","",
"6H 50 MHz","50 MHz","6","0","9A2GA","JN75MM","0","0","4532","6","","","","0,0 %","0","0,0 %","0,0 %","0,0 %","HA7TM","379","0","PWR(W): 20","TRX:","Ant: Yagi 44 el","ASL(m):","",
